accession	proposed_species
MN567045	Reptarenavirus giessenae
KP071536	Reptarenavirus giessenae
KX527594	Reptarenavirus giessenae
MH483092	Reptarenavirus giessenae
KX527597	Reptarenavirus giessenae
MH483072	Reptarenavirus giessenae
KR870025	Reptarenavirus giessenae
KR870024	Reptarenavirus giessenae
KX527589	Reptarenavirus giessenae
KX527593	Reptarenavirus giessenae
KU311009	Reptarenavirus giessenae
KU311008	Reptarenavirus giessenae
KU311007	Reptarenavirus giessenae
KU198322	Reptarenavirus giessenae
KU214828	Reptarenavirus giessenae
KU214827	Reptarenavirus giessenae
KU214826	Reptarenavirus giessenae
KU214825	Reptarenavirus giessenae
KP071578	Reptarenavirus giessenae
OM456549	Reptarenavirus giessenae
MW091471	Reptarenavirus giessenae
KP071474	Reptarenavirus giessenae
OM456554	Reptarenavirus giessenae
KP071643	Reptarenavirus giessenae
KP071558	Reptarenavirus giessenae
MH483070	Reptarenavirus giessenae
KP071545	Reptarenavirus giessenae
KP071659	Reptarenavirus giessenae
KP071610	Reptarenavirus giessenae
KP071588	Reptarenavirus giessenae
KP071571	Reptarenavirus giessenae
KP071635	Reptarenavirus giessenae
KP071493	Reptarenavirus giessenae
KP071487	Reptarenavirus giessenae
MH483094	Reptarenavirus giessenae
KP071539	Reptarenavirus giessenae
NC_018483	Reptarenavirus giessenae
KP071657	Reptarenavirus giessenae
JQ717264	Reptarenavirus giessenae
KP071482	Reptarenavirus giessenae
KP071608	Reptarenavirus giessenae
KP071524	Reptarenavirus giessenae
KP071502	Reptarenavirus giessenae
OM456552	Reptarenavirus giessenae
KP071619	Reptarenavirus giessenae
KP071663	Reptarenavirus giessenae
KP071577	Reptarenavirus giessenae
KP071650	Reptarenavirus giessenae
KP071632	Reptarenavirus giessenae
KP071612	Reptarenavirus giessenae
KP071627	Reptarenavirus giessenae
KP071516	Reptarenavirus giessenae
KP071673	Reptarenavirus giessenae
KP071604	Reptarenavirus giessenae
KP071652	Reptarenavirus giessenae
KR870015	Reptarenavirus giessenae
MN567064	Reptarenavirus giessenae
KP071592	Reptarenavirus giessenae
KP071526	Reptarenavirus giessenae
MH483067	Reptarenavirus giessenae
MH483063	Reptarenavirus giessenae
KP071582	Reptarenavirus giessenae
KX527580	Reptarenavirus giessenae
KX527578	Reptarenavirus giessenae
KP071589	Reptarenavirus giessenae
KR870013	Reptarenavirus giessenae
OM456548	Reptarenavirus giessenae
KP071573	Reptarenavirus giessenae
KP071520	Reptarenavirus giessenae
OM456556	Reptarenavirus giessenae
KP071508	Reptarenavirus giessenae
KP071556	Reptarenavirus giessenae
KP071598	Reptarenavirus giessenae
KP071498	Reptarenavirus giessenae
KR870010	Reptarenavirus giessenae
KP071606	Reptarenavirus giessenae
KP071473	Reptarenavirus giessenae
MH483083	Reptarenavirus giessenae
KP071599	Reptarenavirus giessenae
MH483061	Reptarenavirus giessenae
NC_039005	Reptarenavirus giessenae
KR870012	Reptarenavirus giessenae
KP071509	Reptarenavirus giessenae
KP071522	Reptarenavirus giessenae
OM456561	Reptarenavirus giessenae
KX527577	Reptarenavirus giessenae
KP071583	Reptarenavirus giessenae
MH503954	Reptarenavirus giessenae
OM456558	Reptarenavirus giessenae
MH483076	Reptarenavirus giessenae
KP071543	Reptarenavirus giessenae
KP071538	Reptarenavirus giessenae
MH483088	Reptarenavirus giessenae
KR870018	Reptarenavirus giessenae
MH483052	Reptarenavirus giessenae
KP071671	Reptarenavirus giessenae
KP071557	Reptarenavirus giessenae
KP071506	Reptarenavirus giessenae
KP071480	Reptarenavirus giessenae
KP071613	Reptarenavirus giessenae
NC_039007	Reptarenavirus giessenae
KX527575	Reptarenavirus giessenae
