accession	organism	taxid	segment	description	isolate	strain	species_taxid	species_name	acc_org	acc_spp	classified	Stenglein_snake_number	Hepojoki_snake_number	snake_number
KP071627	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake38/2009 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake38/2009 (S6)	1654822	unclassified Reptarenavirus	KP071627_unidentified Reptarenavirus	KP071627_unclassified Reptarenavirus	FALSE	38	NA	Stenglein_snake_38
KP071516	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake25/2005 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake25/2005 (S6)	1654822	unclassified Reptarenavirus	KP071516_unidentified Reptarenavirus	KP071516_unclassified Reptarenavirus	FALSE	25	NA	Stenglein_snake_25
KP071673	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake32/2005 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake32/2005 (S6)	1654822	unclassified Reptarenavirus	KP071673_unidentified Reptarenavirus	KP071673_unclassified Reptarenavirus	FALSE	32	NA	Stenglein_snake_32
KP071604	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake9/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake9/2010 (S6)	1654822	unclassified Reptarenavirus	KP071604_unidentified Reptarenavirus	KP071604_unclassified Reptarenavirus	FALSE	9	NA	Stenglein_snake_9
KP071652	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake29/2007 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake29/2007 (S6)	1654822	unclassified Reptarenavirus	KP071652_unidentified Reptarenavirus	KP071652_unclassified Reptarenavirus	FALSE	29	NA	Stenglein_snake_29
KR870015	University of Giessen virus 2	2461343	S	University of Giessen virus 2 strain UGV-2 segment S GPC and NP genes, complete cds	2	UGV-2	3052726	Reptarenavirus giessenae	KR870015_University of Giessen virus 2	KR870015_Reptarenavirus giessenae	TRUE	NA	Hepojoki_2015_snake_9	Hepojoki_2015_snake_9
MN567064	Porto Alegre virus-1	2707728	S	Porto Alegre virus-1 isolate 1175-17_PAV-1 segment S, complete sequence	1175-17_PAV-1	NA	1654822	unclassified Reptarenavirus	MN567064_Porto Alegre virus-1	MN567064_unclassified Reptarenavirus	FALSE	NA	NA	NA
KP071592	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake43/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake43/2010 (S6)	1654822	unclassified Reptarenavirus	KP071592_unidentified Reptarenavirus	KP071592_unclassified Reptarenavirus	FALSE	43	NA	Stenglein_snake_43
KP071526	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake4/2009 (S2) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake4/2009 (S2)	1654822	unclassified Reptarenavirus	KP071526_unidentified Reptarenavirus	KP071526_unclassified Reptarenavirus	FALSE	4	NA	Stenglein_snake_4
MH483067	S5-like reptarenavirus	1938918	S	S5-like reptarenavirus isolate S14-0591_4 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	S14-0591_4	NA	1654822	unclassified Reptarenavirus	MH483067_S5-like reptarenavirus	MH483067_unclassified Reptarenavirus	FALSE	NA	NA	NA
MH483063	S5-like reptarenavirus	1938918	S	S5-like reptarenavirus isolate S14-369-79_5 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	S14-369-79_5	NA	1654822	unclassified Reptarenavirus	MH483063_S5-like reptarenavirus	MH483063_unclassified Reptarenavirus	FALSE	NA	NA	NA
KP071582	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (S6)	1654822	unclassified Reptarenavirus	KP071582_unidentified Reptarenavirus	KP071582_unclassified Reptarenavirus	FALSE	44	NA	Stenglein_snake_44
KX527580	University of Giessen virus	1672385	S	University of Giessen virus clone S6-like-S131157 glycoprotein precursor and nucleoprotein genes, complete cds	UGV3	NA	3052726	Reptarenavirus giessenae	KX527580_University of Giessen virus	KX527580_Reptarenavirus giessenae	TRUE	NA	NA	NA
KX527578	University of Giessen virus	1672385	S	University of Giessen virus clone S6-like-T200 glycoprotein precursor and nucleoprotein genes, complete cds	UGV2	NA	3052726	Reptarenavirus giessenae	KX527578_University of Giessen virus	KX527578_Reptarenavirus giessenae	TRUE	NA	NA	NA
KP071589	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake45/2010 (S5) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake45/2010 (S5)	1654822	unclassified Reptarenavirus	KP071589_unidentified Reptarenavirus	KP071589_unclassified Reptarenavirus	FALSE	45	NA	Stenglein_snake_45
KR870013	University of Giessen virus 3	2848326	S	University of Giessen virus 3 strain UGV-3 segment S GPC and NP genes, complete cds	3	UGV-3	3052726	Reptarenavirus giessenae	KR870013_University of Giessen virus 3	KR870013_Reptarenavirus giessenae	TRUE	NA	Hepojoki_2015_snake_8	Hepojoki_2015_snake_8
OM456548	University of Giessen virus	1672385	S	University of Giessen virus isolate CR-captive1-FFPE segment S, complete sequence	CR-captive1-FFPE	NA	3052726	Reptarenavirus giessenae	OM456548_University of Giessen virus	OM456548_Reptarenavirus giessenae	TRUE	NA	NA	NA
KP071573	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Arkansas/snake37/2012 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Arkansas/snake37/2012 (S6)	1654822	unclassified Reptarenavirus	KP071573_unidentified Reptarenavirus	KP071573_unclassified Reptarenavirus	FALSE	37	NA	Stenglein_snake_37
KP071520	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake13/2013 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake13/2013 (S6)	1654822	unclassified Reptarenavirus	KP071520_unidentified Reptarenavirus	KP071520_unclassified Reptarenavirus	FALSE	13	NA	Stenglein_snake_13
OM456556	University of Giessen virus	1672385	S	University of Giessen virus isolate CR-wild3-FFPE segment S, complete sequence	CR-wild3-FFPE	NA	3052726	Reptarenavirus giessenae	OM456556_University of Giessen virus	OM456556_Reptarenavirus giessenae	TRUE	NA	NA	NA
KP071508	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake35/2013 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake35/2013 (S6)	1654822	unclassified Reptarenavirus	KP071508_unidentified Reptarenavirus	KP071508_unclassified Reptarenavirus	FALSE	35	NA	Stenglein_snake_35
KP071556	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (S6)	1654822	unclassified Reptarenavirus	KP071556_unidentified Reptarenavirus	KP071556_unclassified Reptarenavirus	FALSE	34	NA	Stenglein_snake_34
KP071598	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake42/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake42/2010 (S6)	1654822	unclassified Reptarenavirus	KP071598_unidentified Reptarenavirus	KP071598_unclassified Reptarenavirus	FALSE	42	NA	Stenglein_snake_42
KP071498	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake23/2013 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake23/2013 (S6)	1654822	unclassified Reptarenavirus	KP071498_unidentified Reptarenavirus	KP071498_unclassified Reptarenavirus	FALSE	23	NA	Stenglein_snake_23
KR870010	Aurora borealis virus	1672381	S	Aurora borealis virus strain ABV-1 segment S nucleoprotein gene, complete cds	1	ABV-1	1654822	unclassified Reptarenavirus	KR870010_Aurora borealis virus	KR870010_unclassified Reptarenavirus	FALSE	NA	Hepojoki_2015_snake_1	Hepojoki_2015_snake_1
KP071606	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake17/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake17/2010 (S6)	1654822	unclassified Reptarenavirus	KP071606_unidentified Reptarenavirus	KP071606_unclassified Reptarenavirus	FALSE	17	NA	Stenglein_snake_17
KP071473	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake27/2009 (S10) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa dumerili/California/snake27/2009 (S10)	1654822	unclassified Reptarenavirus	KP071473_unidentified Reptarenavirus	KP071473_unclassified Reptarenavirus	FALSE	27	NA	Stenglein_snake_27
MH483083	University of Giessen virus 1	2447931	S	University of Giessen virus 1 isolate S15-0040_8 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	S15-0040_8	NA	3052726	Reptarenavirus giessenae	MH483083_University of Giessen virus 1	MH483083_Reptarenavirus giessenae	TRUE	NA	NA	NA
KP071599	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake42/2010 (S5) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake42/2010 (S5)	1654822	unclassified Reptarenavirus	KP071599_unidentified Reptarenavirus	KP071599_unclassified Reptarenavirus	FALSE	42	NA	Stenglein_snake_42
MH483061	University of Giessen virus 1	2447931	S	University of Giessen virus 1 isolate Ger-pool_10 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	Ger-pool_10	NA	3052726	Reptarenavirus giessenae	MH483061_University of Giessen virus 1	MH483061_Reptarenavirus giessenae	TRUE	NA	NA	NA
NC_039005	University of Giessen virus	1672385	S	University of Giessen virus strain UGV-1 segment S GPC and NP genes, complete cds	1	UGV-1	3052726	Reptarenavirus giessenae	NC_039005_University of Giessen virus	NC_039005_Reptarenavirus giessenae	TRUE	NA	NA	NA
KR870012	University of Giessen virus 1	2447931	S	University of Giessen virus 1 strain UGV-1 segment S GPC and NP genes, complete cds	1	UGV-1	3052726	Reptarenavirus giessenae	KR870012_University of Giessen virus 1	KR870012_Reptarenavirus giessenae	TRUE	NA	Hepojoki_2015_snake_5	Hepojoki_2015_snake_5
KP071509	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake35/2013 (S8) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake35/2013 (S8)	1654822	unclassified Reptarenavirus	KP071509_unidentified Reptarenavirus	KP071509_unclassified Reptarenavirus	FALSE	35	NA	Stenglein_snake_35
KP071522	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake14/2013 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake14/2013 (S6)	1654822	unclassified Reptarenavirus	KP071522_unidentified Reptarenavirus	KP071522_unclassified Reptarenavirus	FALSE	14	NA	Stenglein_snake_14
OM456561	University of Giessen virus	1672385	S	University of Giessen virus isolate CR-Wild5-brain segment S, complete sequence	CR-Wild5-brain	NA	3052726	Reptarenavirus giessenae	OM456561_University of Giessen virus	OM456561_Reptarenavirus giessenae	TRUE	NA	NA	NA
KX527577	University of Giessen virus	1672385	S	University of Giessen virus clone UGV-1-like_S_F15158 glycoprotein precursor and nucleoprotein genes, complete cds	UGV1	NA	3052726	Reptarenavirus giessenae	KX527577_University of Giessen virus	KX527577_Reptarenavirus giessenae	TRUE	NA	NA	NA
KP071583	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (S5) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (S5)	1654822	unclassified Reptarenavirus	KP071583_unidentified Reptarenavirus	KP071583_unclassified Reptarenavirus	FALSE	44	NA	Stenglein_snake_44
MH503954	University of Giessen virus	1672385	S	University of Giessen virus strain S14-369-79_8 segment S, complete sequence	University of Giessen virus-1	S14-369-79_8	3052726	Reptarenavirus giessenae	MH503954_University of Giessen virus	MH503954_Reptarenavirus giessenae	TRUE	NA	NA	NA
OM456558	University of Giessen virus	1672385	S	University of Giessen virus isolate CR-wild4-FFPE segment S, complete sequence	CR-wild4-FFPE	NA	3052726	Reptarenavirus giessenae	OM456558_University of Giessen virus	OM456558_Reptarenavirus giessenae	TRUE	NA	NA	NA
MH483076	University of Giessen virus 1	2447931	S	University of Giessen virus 1 isolate S14-1477-78_8 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	S14-1477-78_8	NA	3052726	Reptarenavirus giessenae	MH483076_University of Giessen virus 1	MH483076_Reptarenavirus giessenae	TRUE	NA	NA	NA
KP071543	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake18/2011 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake18/2011 (S6)	1654822	unclassified Reptarenavirus	KP071543_unidentified Reptarenavirus	KP071543_unclassified Reptarenavirus	FALSE	18	NA	Stenglein_snake_18
KP071538	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake36/2014 (S6) segment S glycoprotein (GPC) gene, complete cds; and nucleoprotein (NP) gene, partial cds	NA	Reptarenavirus/Boa dumerili/California/snake36/2014 (S6)	1654822	unclassified Reptarenavirus	KP071538_unidentified Reptarenavirus	KP071538_unclassified Reptarenavirus	FALSE	36	NA	Stenglein_snake_36
KP071532	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Corallus annulatus/California/snake1/2009 (S1) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Corallus annulatus/California/snake1/2009 (S1)	1654822	unclassified Reptarenavirus	KP071532_unidentified Reptarenavirus	KP071532_unclassified Reptarenavirus	FALSE	1	NA	Stenglein_snake_1
KP071530	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Corallus annulatus/California/snake2/2009 (S1) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Corallus annulatus/California/snake2/2009 (S1)	1654822	unclassified Reptarenavirus	KP071530_unidentified Reptarenavirus	KP071530_unclassified Reptarenavirus	FALSE	2	NA	Stenglein_snake_2
MH483088	S7-like reptarenavirus	2448019	S	S7-like reptarenavirus isolate S17-172_7 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	S17-172_7	NA	1654822	unclassified Reptarenavirus	MH483088_S7-like reptarenavirus	MH483088_unclassified Reptarenavirus	FALSE	NA	NA	NA
KR870018	Aurora borealis virus	1672381	S	Aurora borealis virus strain ABV-2 segment S GPC and NP genes, complete cds	2	ABV-2	1654822	unclassified Reptarenavirus	KR870018_Aurora borealis virus	KR870018_unclassified Reptarenavirus	FALSE	NA	Hepojoki_2015_snake_41	Hepojoki_2015_snake_41
MH483052	University of Giessen virus 1	2447931	S	University of Giessen virus 1 isolate F17-0012_10 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	F17-0012_10	NA	3052726	Reptarenavirus giessenae	MH483052_University of Giessen virus 1	MH483052_Reptarenavirus giessenae	TRUE	NA	NA	NA
KP071671	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake19/2007 (S9) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake19/2007 (S9)	1654822	unclassified Reptarenavirus	KP071671_unidentified Reptarenavirus	KP071671_unclassified Reptarenavirus	FALSE	19	NA	Stenglein_snake_19
KP071557	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (S9) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (S9)	1654822	unclassified Reptarenavirus	KP071557_unidentified Reptarenavirus	KP071557_unclassified Reptarenavirus	FALSE	34	NA	Stenglein_snake_34
KP071506	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Washington/snake20/2012 (S9) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Washington/snake20/2012 (S9)	1654822	unclassified Reptarenavirus	KP071506_unidentified Reptarenavirus	KP071506_unclassified Reptarenavirus	FALSE	20	NA	Stenglein_snake_20
KP071480	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Washington/snake21/2012 (S9) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Washington/snake21/2012 (S9)	1654822	unclassified Reptarenavirus	KP071480_unidentified Reptarenavirus	KP071480_unclassified Reptarenavirus	FALSE	21	NA	Stenglein_snake_21
KP071613	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake41/2010 (S5) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake41/2010 (S5)	1654822	unclassified Reptarenavirus	KP071613_unidentified Reptarenavirus	KP071613_unclassified Reptarenavirus	FALSE	41	NA	Stenglein_snake_41
NC_039007	Tavallinen suomalainen mies virus	1672384	S	Tavallinen suomalainen mies virus clone TSMV-2_S_F15133 glycoprotein precursor and nucleoprotein genes, complete cds	TSMV2	NA	3052725	Reptarenavirus commune	NC_039007_Tavallinen suomalainen mies virus	NC_039007_Reptarenavirus commune	TRUE	NA	NA	NA
KX527575	tavallinen suomalainen mies virus 2	2447930	S	Tavallinen suomalainen mies virus 2 clone TSMV-2_S_F15133 glycoprotein precursor and nucleoprotein genes, complete cds	TSMV2	NA	3052725	Reptarenavirus commune	KX527575_tavallinen suomalainen mies virus 2	KX527575_Reptarenavirus commune	TRUE	NA	NA	NA
NC_023766	University of Helsinki virus	1382279	S	University of Helsinki virus strain UHV-1 segment S, complete sequence	1	UHV-1	1654822	unclassified Reptarenavirus	NC_023766_University of Helsinki virus	NC_023766_unclassified Reptarenavirus	FALSE	NA	NA	NA
KF297880	University of Helsinki virus 1	2848327	S	University of Helsinki virus 1 strain UHV-1 segment S, complete sequence	1	UHV-1	3052727	Reptarenavirus rotterdamense	KF297880_University of Helsinki virus 1	KF297880_Reptarenavirus rotterdamense	TRUE	NA	NA	NA
KX527579	S5-like reptarenavirus	1938918	S	S5-like reptarenavirus clone S5-like-T200 glycoprotein precursor and nucleoprotein genes, complete cds	S5L1	NA	1654822	unclassified Reptarenavirus	KX527579_S5-like reptarenavirus	KX527579_unclassified Reptarenavirus	FALSE	NA	NA	NA
KR870011	University of Helsinki virus	1382279	S	University of Helsinki virus strain UHV-1 segment S GPC and NP genes, complete cds	1	UHV-1	1654822	unclassified Reptarenavirus	KR870011_University of Helsinki virus	KR870011_unclassified Reptarenavirus	FALSE	NA	Hepojoki_2015_snake_1	Hepojoki_2015_snake_1
KX527576	Aurora borealis virus	1672381	S	Aurora borealis virus clone ABV-2_S_F15158 glycoprotein precursor and nucleoprotein genes, complete cds	ABV2	NA	1654822	unclassified Reptarenavirus	KX527576_Aurora borealis virus	KX527576_unclassified Reptarenavirus	FALSE	NA	NA	NA
MH483080	S5-like reptarenavirus	1938918	S	S5-like reptarenavirus isolate S15-0040_5 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	S15-0040_5	NA	1654822	unclassified Reptarenavirus	MH483080_S5-like reptarenavirus	MH483080_unclassified Reptarenavirus	FALSE	NA	NA	NA
KP071630	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake7/2008 (S3) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake7/2008 (S3)	1654822	unclassified Reptarenavirus	KP071630_unidentified Reptarenavirus	KP071630_unclassified Reptarenavirus	FALSE	7	NA	Stenglein_snake_7
KP071472	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake27/2009 (S9) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa dumerili/California/snake27/2009 (S9)	1654822	unclassified Reptarenavirus	KP071472_unidentified Reptarenavirus	KP071472_unclassified Reptarenavirus	FALSE	27	NA	Stenglein_snake_27
KR870016	University of Helsinki virus	1382279	S	University of Helsinki virus strain UHV-2 segment S GPC and NP genes, complete cds	2	UHV-2	1654822	unclassified Reptarenavirus	KR870016_University of Helsinki virus	KR870016_unclassified Reptarenavirus	FALSE	NA	Hepojoki_2015_snake_11	Hepojoki_2015_snake_11
KP071541	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Tennessee/snake6/2008 (S2) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Tennessee/snake6/2008 (S2)	1654822	unclassified Reptarenavirus	KP071541_unidentified Reptarenavirus	KP071541_unclassified Reptarenavirus	FALSE	6	NA	Stenglein_snake_6
KP071559	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (S11) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (S11)	1654822	unclassified Reptarenavirus	KP071559_unidentified Reptarenavirus	KP071559_unclassified Reptarenavirus	FALSE	34	NA	Stenglein_snake_34
MN567052	Aramboia boa virus-1	2707726	S	Aramboia boa virus-1 isolate 481-18_ArBV-1 segment S, complete sequence	481-18_ArBV-1	NA	1654822	unclassified Reptarenavirus	MN567052_Aramboia boa virus-1	MN567052_unclassified Reptarenavirus	FALSE	NA	NA	NA
MN567042	Aramboia boa virus-1	2707726	S	Aramboia boa virus-1 isolate N171-16_ArBV-1 segment S, complete sequence	N171-16_ArBV-1	NA	1654822	unclassified Reptarenavirus	MN567042_Aramboia boa virus-1	MN567042_unclassified Reptarenavirus	FALSE	NA	NA	NA
KP071644	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake30/2007 (S9) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake30/2007 (S9)	1654822	unclassified Reptarenavirus	KP071644_unidentified Reptarenavirus	KP071644_unclassified Reptarenavirus	FALSE	30	NA	Stenglein_snake_30
KP071528	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Corallus annulatus/California/snake3/2009 (S1) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Corallus annulatus/California/snake3/2009 (S1)	1654822	unclassified Reptarenavirus	KP071528_unidentified Reptarenavirus	KP071528_unclassified Reptarenavirus	FALSE	3	NA	Stenglein_snake_3
NC_018481	CAS virus	1223561	S	CAS virus segment S, complete genome	ATB	NA	3052724	Reptarenavirus californiae	NC_018481_CAS virus	NC_018481_Reptarenavirus californiae	TRUE	NA	NA	NA
JQ717262	CAS virus	1223561	S	CAS virus isolate ATB segment S, complete sequence	ATB	NA	3052724	Reptarenavirus californiae	JQ717262_CAS virus	JQ717262_Reptarenavirus californiae	TRUE	NA	NA	NA
MH503957	S10-like virus	2301526	S	S10-like virus strain S17-252_7 segment S, complete sequence	S10-like	S17-252_7	1654822	unclassified Reptarenavirus	MH503957_S10-like virus	MH503957_unclassified Reptarenavirus	FALSE	NA	NA	NA
MH483056	S2-like reptarenavirus	2447936	S	S2-like reptarenavirus isolate F18-5_4 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	F18-5_4	NA	1654822	unclassified Reptarenavirus	MH483056_S2-like reptarenavirus	MH483056_unclassified Reptarenavirus	FALSE	NA	NA	NA
OR194166	Reptarenavirus sp.	2056255	S	Reptarenavirus sp. isolate RI2796 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	RI2796	NA	1654822	unclassified Reptarenavirus	OR194166_Reptarenavirus sp.	OR194166_unclassified Reptarenavirus	FALSE	NA	NA	NA
NC_023761	ROUT virus	1303019	S	Boa arenavirus NL isolate 3 segment S, complete sequence	3	NA	3052727	Reptarenavirus rotterdamense	NC_023761_ROUT virus	NC_023761_Reptarenavirus rotterdamense	TRUE	NA	NA	NA
MN567058	Aramboia boa virus-1	2707726	S	Aramboia boa virus-1 isolate 1164-18_ArBV-1 segment S, complete sequence	1164-18_ArBV-1	NA	1654822	unclassified Reptarenavirus	MN567058_Aramboia boa virus-1	MN567058_unclassified Reptarenavirus	FALSE	NA	NA	NA
KC508669	ROUT virus	1303019	S	Boa arenavirus NL isolate 3 segment S, complete sequence	3	NA	3052727	Reptarenavirus rotterdamense	KC508669_ROUT virus	KC508669_Reptarenavirus rotterdamense	TRUE	NA	NA	NA
KP071501	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake22/2013 (S6B) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake22/2013 (S6B)	1654822	unclassified Reptarenavirus	KP071501_unidentified Reptarenavirus	KP071501_unclassified Reptarenavirus	FALSE	22	NA	Stenglein_snake_22
KR870019	University of Helsinki virus	1382279	S	University of Helsinki virus strain UHV-3 segment S GPC and NP genes, complete cds	3	UHV-3	1654822	unclassified Reptarenavirus	KR870019_University of Helsinki virus	KR870019_unclassified Reptarenavirus	FALSE	NA	Hepojoki_2015_snake_41	Hepojoki_2015_snake_41
