accession	organism	taxid	segment	description	isolate	strain	species_taxid	species_name	acc_org	acc_spp	classified	Stenglein_snake_number	Hepojoki_snake_number	snake_number
KP071500	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake23/2013 (L11) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake23/2013 (L11)	1654822	unclassified Reptarenavirus	KP071500_unidentified Reptarenavirus	KP071500_unclassified Reptarenavirus	FALSE	23	NA	Stenglein_snake_23
KP071672	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake19/2007 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake19/2007 (L18)	1654822	unclassified Reptarenavirus	KP071672_unidentified Reptarenavirus	KP071672_unclassified Reptarenavirus	FALSE	19	NA	Stenglein_snake_19
KP071625	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake40/2010 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake40/2010 (L3)	1654822	unclassified Reptarenavirus	KP071625_unidentified Reptarenavirus	KP071625_unclassified Reptarenavirus	FALSE	40	NA	Stenglein_snake_40
KP071587	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (L6)	1654822	unclassified Reptarenavirus	KP071587_unidentified Reptarenavirus	KP071587_unclassified Reptarenavirus	FALSE	44	NA	Stenglein_snake_44
KP071669	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L18)	1654822	unclassified Reptarenavirus	KP071669_unidentified Reptarenavirus	KP071669_unclassified Reptarenavirus	FALSE	28	NA	Stenglein_snake_28
KP071555	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake33/2008 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake33/2008 (L6)	1654822	unclassified Reptarenavirus	KP071555_unidentified Reptarenavirus	KP071555_unclassified Reptarenavirus	FALSE	33	NA	Stenglein_snake_33
KP071678	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L18)	1654822	unclassified Reptarenavirus	KP071678_unidentified Reptarenavirus	KP071678_unclassified Reptarenavirus	FALSE	32	NA	Stenglein_snake_32
MZ818775	University of Helsinki virus 3	2447932	L	University of Helsinki virus 3 strain Coldvalley segment L, partial sequence	NA	Coldvalley	1654822	unclassified Reptarenavirus	MZ818775_University of Helsinki virus 3	MZ818775_unclassified Reptarenavirus	FALSE	NA	NA	NA
KP071622	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake40/2010 (L20) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake40/2010 (L20)	1654822	unclassified Reptarenavirus	KP071622_unidentified Reptarenavirus	KP071622_unclassified Reptarenavirus	FALSE	40	NA	Stenglein_snake_40
KP071575	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Arkansas/snake37/2012 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Arkansas/snake37/2012 (L21)	1654822	unclassified Reptarenavirus	KP071575_unidentified Reptarenavirus	KP071575_unclassified Reptarenavirus	FALSE	37	NA	Stenglein_snake_37
KP071567	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L21)	1654822	unclassified Reptarenavirus	KP071567_unidentified Reptarenavirus	KP071567_unclassified Reptarenavirus	FALSE	34	NA	Stenglein_snake_34
KP071549	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake33/2008 (L20) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake33/2008 (L20)	1654822	unclassified Reptarenavirus	KP071549_unidentified Reptarenavirus	KP071549_unclassified Reptarenavirus	FALSE	33	NA	Stenglein_snake_33
KP071478	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake27/2009 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa dumerili/California/snake27/2009 (L21)	1654822	unclassified Reptarenavirus	KP071478_unidentified Reptarenavirus	KP071478_unclassified Reptarenavirus	FALSE	27	NA	Stenglein_snake_27
KP071607	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake17/2010 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake17/2010 (L21)	1654822	unclassified Reptarenavirus	KP071607_unidentified Reptarenavirus	KP071607_unclassified Reptarenavirus	FALSE	17	NA	Stenglein_snake_17
KP071609	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake16/2010 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake16/2010 (L21)	1654822	unclassified Reptarenavirus	KP071609_unidentified Reptarenavirus	KP071609_unclassified Reptarenavirus	FALSE	16	NA	Stenglein_snake_16
KP071674	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L23) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L23)	1654822	unclassified Reptarenavirus	KP071674_unidentified Reptarenavirus	KP071674_unclassified Reptarenavirus	FALSE	32	NA	Stenglein_snake_32
KP071513	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake35/2013 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake35/2013 (L21)	1654822	unclassified Reptarenavirus	KP071513_unidentified Reptarenavirus	KP071513_unclassified Reptarenavirus	FALSE	35	NA	Stenglein_snake_35
KP071485	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake48/2013 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake48/2013 (L3)	1654822	unclassified Reptarenavirus	KP071485_unidentified Reptarenavirus	KP071485_unclassified Reptarenavirus	FALSE	48	NA	Stenglein_snake_48
OM456559	Aurora borealis virus 3	2447924	L	Aurora borealis virus 3 isolate CR-wild4-FFPE segment L, complete sequence	CR-wild4-FFPE	NA	1654822	unclassified Reptarenavirus	OM456559_Aurora borealis virus 3	OM456559_unclassified Reptarenavirus	FALSE	NA	NA	NA
KP071621	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake40/2010 (L8) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake40/2010 (L8)	1654822	unclassified Reptarenavirus	KP071621_unidentified Reptarenavirus	KP071621_unclassified Reptarenavirus	FALSE	40	NA	Stenglein_snake_40
OM456551	Aurora borealis virus 3	2447924	L	Aurora borealis virus 3 isolate CR-captive4-FFPE segment L, complete sequence	CR-captive4-FFPE	NA	1654822	unclassified Reptarenavirus	OM456551_Aurora borealis virus 3	OM456551_unclassified Reptarenavirus	FALSE	NA	NA	NA
KP071618	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake41/2010 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake41/2010 (L6)	1654822	unclassified Reptarenavirus	KP071618_unidentified Reptarenavirus	KP071618_unclassified Reptarenavirus	FALSE	41	NA	Stenglein_snake_41
KP071486	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake48/2013 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake48/2013 (L6)	1654822	unclassified Reptarenavirus	KP071486_unidentified Reptarenavirus	KP071486_unclassified Reptarenavirus	FALSE	48	NA	Stenglein_snake_48
KP071624	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake40/2010 (L7) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake40/2010 (L7)	1654822	unclassified Reptarenavirus	KP071624_unidentified Reptarenavirus	KP071624_unclassified Reptarenavirus	FALSE	40	NA	Stenglein_snake_40
KP071551	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake33/2008 (L15) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake33/2008 (L15)	1654822	unclassified Reptarenavirus	KP071551_unidentified Reptarenavirus	KP071551_unclassified Reptarenavirus	FALSE	33	NA	Stenglein_snake_33
KP071544	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake18/2011 (L7) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake18/2011 (L7)	1654822	unclassified Reptarenavirus	KP071544_unidentified Reptarenavirus	KP071544_unclassified Reptarenavirus	FALSE	18	NA	Stenglein_snake_18
MN567066	Saudades virus-1	2707729	L	Saudades virus-1 isolate 1175-17_SauV-1 segment L, complete sequence	1175-17_SauV-1	NA	1654822	unclassified Reptarenavirus	MN567066_Saudades virus-1	MN567066_unclassified Reptarenavirus	FALSE	NA	NA	NA
