accession	organism	taxid	segment	description	isolate	strain
KP071607	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake17/2010 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake17/2010 (L21)
KP071609	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake16/2010 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake16/2010 (L21)
KP071674	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L23) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L23)
KP071513	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake35/2013 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake35/2013 (L21)
KP071485	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake48/2013 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake48/2013 (L3)
OM456559	Aurora borealis virus 3	2447924	L	Aurora borealis virus 3 isolate CR-wild4-FFPE segment L, complete sequence	CR-wild4-FFPE	NA
KP071621	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake40/2010 (L8) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake40/2010 (L8)
OM456551	Aurora borealis virus 3	2447924	L	Aurora borealis virus 3 isolate CR-captive4-FFPE segment L, complete sequence	CR-captive4-FFPE	NA
KP071618	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake41/2010 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake41/2010 (L6)
KP071486	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake48/2013 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake48/2013 (L6)
KP071624	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake40/2010 (L7) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake40/2010 (L7)
KP071551	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake33/2008 (L15) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake33/2008 (L15)
KP071544	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake18/2011 (L7) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake18/2011 (L7)
MN567066	Saudades virus-1	2707729	L	Saudades virus-1 isolate 1175-17_SauV-1 segment L, complete sequence	1175-17_SauV-1	NA
KR870020	University of Helsinki virus	1382279	L	University of Helsinki virus strain UHV-1 segment L Z protein and RdRp genes, complete cds	1	UHV-1
MN567047	Frankfurter Strasse virus-1	2707727	L	Frankfurter Strasse virus-1 isolate N171-16_FStV-1 segment L, complete sequence	N171-16_FStV-1	NA
KX527598	Bis spoeter virus	1938699	L	Bis spoeter virus clone BSV-1_L_S131157 Z-protein and RNA-dependent RNA polymerase genes, complete cds	BSV1	NA
KR870023	University of Giessen virus 3	2848326	L	University of Giessen virus 3 strain UGV-3 segment L Z protein and RdRp genes, complete cds	3	UGV-3
MH483048	Hipoen jatkoon virus 1	2447928	L	Hipoen jatkoon virus 1 isolate F17-0012_6 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	F17-0012_6	NA
KP071566	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L7) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L7)
KP071584	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (L7) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (L7)
OM456553	Aurora borealis virus 3	2447924	L	Aurora borealis virus 3 isolate CR-wild1-FFPE segment L, complete sequence	CR-wild1-FFPE	NA
KP071620	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake40/2010 (L19) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake40/2010 (L19)
MN567046	University of Helsinki virus-2	2707731	L	University of Helsinki virus-2 isolate N171-16_UHV-2 segment L, complete sequence	N171-16_UHV-2	NA
NC_018484	CAS virus	1223561	L	CAS virus segment L, complete genome	ATB	NA
KP071531	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Corallus annulatus/California/snake2/2009 (L1) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Corallus annulatus/California/snake2/2009 (L1)
JQ717261	CAS virus	1223561	L	CAS virus isolate ATB segment L, complete sequence	ATB	NA
KP071677	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L21)
MH483090	Mista naita tulee virus 1	2448018	L	Mista naita tulee virus 1 isolate S17-252_6 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S17-252_6	NA
KP071529	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Corallus annulatus/California/snake3/2009 (L1) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Corallus annulatus/California/snake3/2009 (L1)
MH483087	Mista naita tulee virus 1	2448018	L	Mista naita tulee virus 1 isolate S17-172_6 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S17-172_6	NA
KP071548	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake33/2008 (L19) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake33/2008 (L19)
MW091469	Keijut pohjoismaissa virus 1	2447927	L	Keijut pohjoismaissa virus 1 isolate F18-300-101_KePV-1_L Z protein and RNA-dependent RNA polymerase genes, complete cds	F18-300-101_KePV-1_L	NA
KP071533	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Corallus annulatus/California/snake1/2009 (L1) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Corallus annulatus/California/snake1/2009 (L1)
NC_039006	University of Giessen virus	1672385	L	University of Giessen virus strain UGV-1 segment L Z protein and RdRp genes, complete cds	1	UGV-1
KR870022	University of Giessen virus 1	2447931	L	University of Giessen virus 1 strain UGV-1 segment L Z protein and RdRp genes, complete cds	1	UGV-1
KP071534	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake36/2014 (L17) segment L Z protein (Z) and L polymerase (L) genes, partial cds	NA	Reptarenavirus/Boa dumerili/California/snake36/2014 (L17)
MH483079	Keijut pohjoismaissa virus 1	2447927	L	Keijut pohjoismaissa virus 1 isolate S15-0040_4 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S15-0040_4	NA
MH483066	Keijut pohjoismaissa virus 1	2447927	L	Keijut pohjoismaissa virus 1 isolate S14-0591_3 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S14-0591_3	NA
MH483062	Keijut pohjoismaissa virus 1	2447927	L	Keijut pohjoismaissa virus 1 isolate S14-369-79_4 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S14-369-79_4	NA
MH483047	Keijut pohjoismaissa virus 1	2447927	L	Keijut pohjoismaissa virus 1 isolate F17-0012_5 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	F17-0012_5	NA
MN567045	Arabuta Snake virus-1	2707725	L	Arabuta Snake virus-1 isolate N171-16_ArSV-1 segment L, complete sequence	N171-16_ArSV-1	NA
KP071536	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake36/2014 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa dumerili/California/snake36/2014 (L21)
KX527594	Aurora borealis virus	1672381	L	Aurora borealis virus clone ABV-4_L_S131157 Z-protein gene, partial cds; and RNA-dependent RNA polymerase gene, complete cds	ABV4	NA
MH483092	Keijut pohjoismaissa virus 1	2447927	L	Keijut pohjoismaissa virus 1 isolate Sn36_4 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	Sn36_4	NA
KX527597	Keijut pohjoismaissa virus	1938702	L	Keijut pohjoismaissa virus clone KePV-1_L_S131157 Z-protein and RNA-dependent RNA polymerase genes, complete cds	KePV1	NA
MH483072	Keijut pohjoismaissa virus 1	2447927	L	Keijut pohjoismaissa virus 1 isolate S14-1477-78_4 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S14-1477-78_4	NA
KR870025	Aurora borealis virus	1672381	L	Aurora borealis virus strain ABV-3 segment L Z protein and RdRp genes, partial cds	3	ABV-3
KR870024	Suri Vanera virus	1672383	L	Suri Vanera virus strain SVaV-1 segment L Z protein gene, partial cds; and RdRp gene, complete cds	1	SVaV-1
KX527589	Keijut pohjoismaissa virus	1938702	L	Keijut pohjoismaissa virus clone KePV-1_L_T200 Z-protein and RNA-dependent RNA polymerase genes, complete cds	KePV1	NA
KX527593	Gruetzi mitenand virus	1938698	L	Gruetzi mitenand virus clone GMV-1_L_T200 RNA-dependent RNA polymerase gene, partial cds	GMV1	NA
KU311009	Alethinophid 3 reptarenavirus	1653399	L	Alethinophid 3 reptarenavirus isolate UPM-MY 04 L protein (L) gene, partial cds	UPM-MY 04	NA
KU311008	Alethinophid 3 reptarenavirus	1653399	L	Alethinophid 3 reptarenavirus isolate UPM-MY 03 L protein (L) gene, partial cds	UPM-MY 03	NA
KU311007	Alethinophid 3 reptarenavirus	1653399	L	Alethinophid 3 reptarenavirus isolate UPM-MY 02 L protein (L) gene, partial cds	UPM-MY 02	NA
KU198322	Alethinophid 3 reptarenavirus	1653399	L	Alethinophid 3 reptarenavirus isolate UPM-MY 01 L protein (L) gene, partial cds	UPM-MY 01	NA
KU214828	Alethinophid 3 reptarenavirus	1653399	L	Alethinophid 3 reptarenavirus isolate UPM/MY 04A L protein (L) gene, partial cds	UPM/MY 04A	NA
KU214827	Alethinophid 3 reptarenavirus	1653399	L	Alethinophid 3 reptarenavirus isolate UPM/MY 03A L protein (L) gene, partial cds	UPM/MY 03A	NA
KU214826	Alethinophid 3 reptarenavirus	1653399	L	Alethinophid 3 reptarenavirus isolate UPM/MY 02A L protein (L) gene, partial cds	UPM/MY 02A	NA
KU214825	Alethinophid 3 reptarenavirus	1653399	L	Alethinophid 3 reptarenavirus isolate UPM/MY 01A L protein (L) gene, partial cds	UPM/MY 01A	NA
KP071578	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake26/2011 (S7) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake26/2011 (S7)
OM456549	University of Giessen virus	1672385	S	University of Giessen virus isolate CR-captive3-FFPE segment S, complete sequence	CR-captive3-FFPE	NA
MW091471	University of Giessen virus	1672385	S	University of Giessen virus isolate F18-300-101_UGV_S glycoprotein precursor and nucleoprotein genes, complete cds	F18-300-101_UGV_S	NA
KP071474	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake27/2009 (S4) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa dumerili/California/snake27/2009 (S4)
OM456554	University of Giessen virus	1672385	S	University of Giessen virus isolate CR-wild2-FFPE segment S, complete sequence	CR-wild2-FFPE	NA
KP071643	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake30/2007 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake30/2007 (S6)
KP071558	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (S10) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (S10)
MH483070	University of Giessen virus 1	2447931	S	University of Giessen virus 1 isolate S14-0591_7 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	S14-0591_7	NA
KP071545	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake33/2008 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake33/2008 (S6)
KP071659	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake24/2007 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake24/2007 (S6)
KP071610	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake8/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake8/2010 (S6)
KP071588	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake45/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake45/2010 (S6)
KP071571	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake12/2013 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake12/2013 (S6)
KP071635	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (S6)
KP071493	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake46/2013 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake46/2013 (S6)
KP071487	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake47/2013 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake47/2013 (S6)
MH483094	University of Giessen virus 1	2447931	S	University of Giessen virus 1 isolate Sn36_6 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	Sn36_6	NA
KP071539	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Python reticulatus/California/snake15/2012 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Python reticulatus/California/snake15/2012 (S6)
NC_018483	Golden Gate virus	1223562	S	Golden Gate virus segment S, complete genome	BC	NA
KP071657	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake10/2007 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake10/2007 (S6)
JQ717264	Golden Gate virus	1223562	S	Golden Gate virus isolate BC segment S, complete sequence	BC	NA
KP071482	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake48/2013 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake48/2013 (S6)
KP071608	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake16/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake16/2010 (S6)
KP071524	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake5/2009 (S2) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake5/2009 (S2)
KP071502	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake22/2013 (S6A) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake22/2013 (S6A)
OM456552	University of Giessen virus	1672385	S	University of Giessen virus isolate CR-wild1-FFPE segment S, complete sequence	CR-wild1-FFPE	NA
KP071619	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake40/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake40/2010 (S6)
KP071663	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (S6)
KP071577	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake26/2011 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake26/2011 (S6)
KP071650	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake11/2007 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake11/2007 (S6)
KP071632	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake39/2007 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake39/2007 (S6)
KP071612	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake41/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake41/2010 (S6)
KP071627	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake38/2009 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake38/2009 (S6)
KP071516	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake25/2005 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake25/2005 (S6)
KP071673	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake32/2005 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake32/2005 (S6)
KP071604	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake9/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake9/2010 (S6)
KP071652	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake29/2007 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake29/2007 (S6)
KR870015	University of Giessen virus 2	2461343	S	University of Giessen virus 2 strain UGV-2 segment S GPC and NP genes, complete cds	2	UGV-2
MN567064	Porto Alegre virus-1	2707728	S	Porto Alegre virus-1 isolate 1175-17_PAV-1 segment S, complete sequence	1175-17_PAV-1	NA
KP071592	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake43/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake43/2010 (S6)
KP071526	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake4/2009 (S2) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake4/2009 (S2)
MH483067	S5-like reptarenavirus	1938918	S	S5-like reptarenavirus isolate S14-0591_4 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	S14-0591_4	NA
MH483063	S5-like reptarenavirus	1938918	S	S5-like reptarenavirus isolate S14-369-79_5 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	S14-369-79_5	NA
KP071582	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (S6)
KX527580	University of Giessen virus	1672385	S	University of Giessen virus clone S6-like-S131157 glycoprotein precursor and nucleoprotein genes, complete cds	UGV3	NA
KX527578	University of Giessen virus	1672385	S	University of Giessen virus clone S6-like-T200 glycoprotein precursor and nucleoprotein genes, complete cds	UGV2	NA
KP071589	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake45/2010 (S5) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake45/2010 (S5)
KR870013	University of Giessen virus 3	2848326	S	University of Giessen virus 3 strain UGV-3 segment S GPC and NP genes, complete cds	3	UGV-3
OM456548	University of Giessen virus	1672385	S	University of Giessen virus isolate CR-captive1-FFPE segment S, complete sequence	CR-captive1-FFPE	NA
KP071573	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Arkansas/snake37/2012 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Arkansas/snake37/2012 (S6)
KP071520	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake13/2013 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake13/2013 (S6)
OM456556	University of Giessen virus	1672385	S	University of Giessen virus isolate CR-wild3-FFPE segment S, complete sequence	CR-wild3-FFPE	NA
KP071508	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake35/2013 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake35/2013 (S6)
KP071556	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (S6)
KP071598	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake42/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake42/2010 (S6)
KP071498	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake23/2013 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake23/2013 (S6)
KR870010	Aurora borealis virus	1672381	S	Aurora borealis virus strain ABV-1 segment S nucleoprotein gene, complete cds	1	ABV-1
KP071606	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake17/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake17/2010 (S6)
KP071473	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake27/2009 (S10) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa dumerili/California/snake27/2009 (S10)
MH483083	University of Giessen virus 1	2447931	S	University of Giessen virus 1 isolate S15-0040_8 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	S15-0040_8	NA
KP071599	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake42/2010 (S5) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake42/2010 (S5)
MH483061	University of Giessen virus 1	2447931	S	University of Giessen virus 1 isolate Ger-pool_10 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	Ger-pool_10	NA
NC_039005	University of Giessen virus	1672385	S	University of Giessen virus strain UGV-1 segment S GPC and NP genes, complete cds	1	UGV-1
KR870012	University of Giessen virus 1	2447931	S	University of Giessen virus 1 strain UGV-1 segment S GPC and NP genes, complete cds	1	UGV-1
KP071509	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake35/2013 (S8) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake35/2013 (S8)
KP071522	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake14/2013 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake14/2013 (S6)
OM456561	University of Giessen virus	1672385	S	University of Giessen virus isolate CR-Wild5-brain segment S, complete sequence	CR-Wild5-brain	NA
KX527577	University of Giessen virus	1672385	S	University of Giessen virus clone UGV-1-like_S_F15158 glycoprotein precursor and nucleoprotein genes, complete cds	UGV1	NA
